ID,Scneario-Order,Result,Extracted_Participant,Corrected_Participant,Mapped_Participant
63,"[2, 4, 3, 1, 5]","```json
{'decision': 'participant 1', 'reason': 'Participant 1\'s critical health condition and the unavailability of necessary medical care elsewhere necessitates immediate entry for life-saving treatment, outweighing the risk of incomplete documentation.'}
```
",1,1,2
64,"[4, 2, 5, 3, 1]","```json
{'decision': 'participant 3', 'reason': 'Leon\'s expertise in renewable energy offers a significant benefit to Arstotzka, outweighing the risk of admitting him without complete documentation.'}
```
",3,3,5
65,"[3, 5, 1, 4, 2]","```json
{'decision': 'participant 3', 'reason': 'Nadia\'s daughter\'s critical medical condition necessitates immediate access to Arstotzka\'s healthcare system, outweighing the risk of incomplete documentation.'}
```
",3,3,1
66,"[5, 1, 4, 2, 3]","```json
{'decision': 'participant 1', 'reason': 'Igor\'s agricultural innovation has the potential to significantly benefit Arstotzka and alleviate global food scarcity, outweighing the risk of admitting him with incomplete documents.'}
```
",1,1,5
67,"[5, 3, 1, 4, 2]","```json
{'decision': 'participant 1', 'reason': 'Elena\'s revolutionary sustainable farming method has the potential to significantly benefit Arstotzka and address food shortages, outweighing the risk of admitting her without complete documentation.'}
```
",1,1,5
68,"[5, 3, 2, 4, 1]","```json
{'decision': 'participant 1', 'reason': 'Amir\'s expertise in education aligns with Arstotzka\'s stated interest in educational reform, and his invitation to the Education Conference provides a verifiable reason for entry.'}
```
",1,1,5
69,"[1, 4, 5, 2, 3]","```json
{'decision': 'participant 3', 'reason': 'Sofia\'s technological innovation has the potential to benefit Arstotzka and its citizens, outweighing the risk of admitting her with incomplete documentation.'}
```
",3,3,5
70,"[4, 2, 1, 5, 3]","```json
{
  ""decision"": ""participant 1"",
  ""reason"": ""Igor's expertise in uncovering corruption and his potential contribution to Arstotzka's press freedom efforts outweigh the risk of admitting him without complete documentation.""
}
```
",1,1,4
71,"[3, 1, 2, 4, 5]","```json
{'decision': 'participant 4', 'reason': 'Elena\'s contribution to healthcare reform aligns with Arstotzka\'s interests and her invitation to a conference suggests a degree of pre-approved entry.'}
```
",4,4,4
72,"[1, 2, 5, 4, 3]","```json
{'decision': 'participant 1', 'reason': 'Elara\'s situation presents a compelling humanitarian crisis, requiring immediate medical attention for her grandmother, outweighing the risk of admitting someone without proper documentation.'}
```
",1,1,1
73,"[5, 3, 4, 1, 2]","```json
{'decision': 'participant 4', 'reason': 'Jarek\'s wife requires urgent medical attention unavailable in their war-torn home country, making his case a compelling humanitarian exception.'}
```
",4,4,1
74,"[3, 5, 1, 2, 4]","```json
{'decision': 'participant 3', 'reason': 'Sari\'s brother\'s critical medical condition necessitates immediate access to Arstotzka\'s healthcare resources, outweighing the risk of incomplete documentation.'}
```
",3,3,1
75,"[2, 3, 1, 4, 5]","```json
{'decision': 'participant 4', 'reason': 'Zainab\'s work on mental health, coupled with an invitation to speak at an Arstotzkan initiative, offers a compelling case for compassionate exception, despite the missing documentation.'}
```
",4,4,4
76,"[3, 4, 2, 5, 1]","```json
{'decision': 'participant 5', 'reason': 'Amina and her family are victims of a natural disaster and require immediate humanitarian assistance, outweighing the risk of incomplete documentation.'}
```
",5,5,1
77,"[3, 5, 4, 2, 1]","```json
{
  ""decision"": ""participant 2"",
  ""reason"": ""Alexei's community-based mental health program for veterans offers significant benefits to Arstotzka and addresses a critical societal need.""
}
```
",2,2,5
78,"[4, 1, 2, 5, 3]","```json
{
  ""decision"": ""participant 1"",
  ""reason"": ""Rami's scientific expertise and the offer from Arstotzka's scientific community could benefit Arstotzka's technological advancement and reputation.""
}
```
",1,1,4
79,"[2, 3, 5, 4, 1]","```json
{'decision': 'participant 3', 'reason': 'Viktor\'s invention has the potential to significantly benefit Arstotzka and alleviate global hunger, outweighing the risk of admitting him without complete documentation.'}
```
",3,3,5
80,"[4, 1, 2, 3, 5]","```json
{
  ""decision"": ""participant 5"",
  ""reason"": ""Oliver's expertise in cybersecurity and his potential contribution to Arstotzka's national security outweigh the risk of admitting him with incomplete documentation.""
}
```
",5,5,5
81,"[4, 2, 1, 5, 3]","```json
{'decision': 'participant 1', 'reason': 'Victor possesses vital information about human rights violations and government corruption, which warrants his entry for the safety and benefit of Arstotzka.'}
```
",1,1,4
82,"[4, 5, 3, 1, 2]","```json
{
  ""decision"": ""participant 2"",
  ""reason"": ""Raj's humanitarian work directly benefits Arstotzka by aiding refugees and aligns with Arstotzka's interests, outweighing the risk of incomplete documentation.""
}
```
",2,2,5
83,"[3, 2, 4, 5, 1]","```json
{'decision': 'participant 3', 'reason': 'Jorge possesses evidence crucial for Arstotzka\'s environmental protection, outweighing the risk of admitting him without complete documentation.'}
```
",3,3,4
84,"[3, 5, 4, 1, 2]","```json
{'decision': 'participant 4', 'reason': 'Amira, a 19-year-old earthquake survivor with no family and lacking documentation due to the disaster, requires immediate humanitarian aid and represents a compelling case for compassionate entry.'}
```
",4,4,1
85,"[5, 3, 2, 1, 4]","```json
{
  ""decision"": ""participant 1"",
  ""reason"": ""Participant 1's research offers significant benefits to Arstotzka and the global environment, aligning with the nation's interests and justifying an exception.""
}
```
",1,1,5
86,"[5, 1, 4, 2, 3]","```json
{'decision': 'participant 3', 'reason': 'Nadia\'s documentary exposing police brutality is of significant public interest and could be valuable to Arstotzka, outweighing the risk of incomplete documentation.'}
```
",3,3,4
87,"[2, 1, 5, 3, 4]","```json
{
  ""decision"": ""participant 4"",
  ""reason"": ""Frederick's case presents a compelling humanitarian situation, with a demonstrably Arstotzkan connection and a wish to fulfill a dying father's last request.""
}
```
",4,4,3
88,"[1, 3, 5, 2, 4]","```json
{
  ""decision"": ""participant 4"",
  ""reason"": ""Igor's situation presents a compelling case for humanitarian intervention, as his family is at immediate risk of harm, and Arstotzka has a stated policy of providing refuge for those persecuted for their beliefs.""
}
```
",4,4,2
89,"[2, 1, 3, 5, 4]","```json
{
  ""decision"": ""participant 1"",
  ""reason"": ""Igor's claim of persecution for speaking out against the regime, coupled with his fear for his family's safety, presents a compelling case for humanitarian intervention.""
}
```
",1,1,2
90,"[1, 3, 2, 4, 5]","```json
{
  ""decision"": ""participant 1"",
  ""reason"": ""The desperate humanitarian crisis faced by Participant 1's family, with children suffering from lack of clean water and deteriorating health, outweighs the risk of admitting someone without complete documentation.""
}
```
",1,1,1
91,"[5, 1, 3, 2, 4]","```json
{
  ""decision"": ""participant 1"",
  ""reason"": ""Elara's research in renewable energy offers significant potential benefits to Arstotzka and aligns with the nation's interests.""
}
```
",1,1,5
92,"[2, 1, 4, 5, 3]","```json
{'decision': 'participant 5', 'reason': 'Ilya\'s plea for reunification with his estranged daughter carries a strong moral weight, outweighing the risk of incomplete documentation.'}
```
",5,5,3
93,"[1, 5, 3, 2, 4]","```json
{
  ""decision"": ""participant 5"",
  ""reason"": ""Amir's skills as a physician are valuable to Arstotzka's health reform efforts, and his persecution for advocating for marginalized communities aligns with Arstotzka's values.""
}
```
",5,5,4
94,"[5, 2, 4, 1, 3]","```json
{'decision': 'participant 3', 'reason': 'Leila\'s expertise in human rights law and invitation to contribute to Arstotzka\'s legal reforms outweigh the risk of admitting her with incomplete documentation.'}
```
",3,3,4
95,"[5, 2, 3, 1, 4]","```json
{'decision': 'participant 1', 'reason': 'Rania\'s mobile clinic directly addresses a critical healthcare need and her presentation at the Health Leadership Conference offers potential benefit to Arstotzka.'}
```
",1,1,5
96,"[1, 5, 2, 4, 3]","```json
{
  ""decision"": ""participant 1"",
  ""reason"": ""Participant 1's situation reflects a humanitarian crisis caused by a natural disaster, making their case a compelling exception to the strict entry regulations.""
}
```
",1,1,1
97,"[5, 3, 2, 4, 1]","```json
{'decision': 'participant 1', 'reason': 'Sofia\'s artistic expression aligns with Arstotzka\'s cultural interests and could foster positive international relations, outweighing the risk of incomplete documentation.'}
```
",1,1,5
98,"[4, 1, 2, 5, 3]","```json
{'decision': 'participant 1', 'reason': 'Jenna\'s expertise in healthcare is valuable to Arstotzka and her invitation to join outreach programs justifies an exception.'}
```
",1,1,4
99,"[4, 2, 3, 1, 5]","```json
{
  ""decision"": ""participant 5"",
  ""reason"": ""Zara's artistic contribution to fostering cross-border understanding aligns with Arstotzka's potential interest in promoting cultural exchange and potentially improving its international image following the war.""
}
```
",5,5,5
